OTUs,RF Importance,NN Importance,IS stat,IS Site Label,IS P value
OTU_55,0.049237921996129,-1.0,0.825023867892327,Low,0.0
OTU_12,1.0,-0.7636853715320082,0.806840689295082,Low,0.0
OTU_24,0.08224482443880204,0.4433227858207854,0.7811668792264662,High,0.0
OTU_23,0.04031712345785385,-0.4061653581228861,0.7769774326985842,Low,0.0
OTU_16,0.019897033271870975,0.5460008081121404,0.7751659288009304,High,0.0
OTU_6,0.030032005062096825,-0.6804676954464389,0.771661532655552,Low,0.0
OTU_30,0.0069650879009415505,0.5674289973178811,0.7582442592101127,High,0.0
OTU_401,0.022714252279025914,-0.2852765656055752,0.7574831172033977,Low,0.0
OTU_38,0.015173194684215931,-0.4471411587089611,0.7560979328861944,Low,0.0
OTU_534,0.029331426761099847,0.7693908368886058,0.7559640858928843,High,0.0
OTU_29,0.021146747844971975,0.6839533782692372,0.7541999644840552,High,0.0
OTU_1142,0.004679557239548006,0.4363335767757296,0.7530122825119362,High,0.0
OTU_53,0.019336829344451367,-0.5272590686080406,0.7357552688429251,Low,0.0
OTU_150,0.05297857364694458,-0.4301546959313984,0.7203279343997371,Low,0.0
OTU_3,0.01342628695666544,-0.46862409325707766,0.7097634727181187,Low,0.0
OTU_22,0.03858590059367408,0.5125651927594735,0.7035206983696922,High,0.0
OTU_21,0.012988647074947287,0.7145362550541767,0.6905364843644343,High,0.0
OTU_11,0.008844936968301563,-0.6112107036988954,0.6857588588012601,Low,0.0
OTU_40,0.02620897352824564,-0.5107384425041896,0.6839503217298614,Low,0.0
OTU_61,0.005420384250269098,-0.5082608578439277,0.6783537561014638,Low,0.0
OTU_99,0.005665045678313842,-0.4891807888316253,0.6772611891266953,Low,0.0
OTU_960,0.00864154576805555,-0.3095659568272942,0.6720047011641177,Low,0.0
OTU_105,0.003177108233162186,0.5060860427029314,0.6704462379938033,High,0.0
OTU_122,0.003168560589816006,-0.4876705435579436,0.6512962500606941,Low,0.0
OTU_158,0.002190942419481172,-0.5221593297649776,0.649818771254054,Low,0.0
OTU_34,0.004189780716656796,-0.5203982375877999,0.6480428180674845,Low,0.0
OTU_104,0.006639041304569685,0.344634392777723,0.630852174127026,High,0.0
OTU_33,0.003146147154802514,-0.29081710333351735,0.6283372777655745,Low,0.02
OTU_87,0.00520325527632256,-0.2738841311293389,0.6221056965211361,Low,0.0
OTU_17,0.0031877958053163516,0.5122257156853093,0.6122541806757487,High,0.0
OTU_42,0.0020515014443154636,-0.31655861863890944,0.5979017408395473,Low,0.0
OTU_89,0.003922989405097688,-0.49311082365566594,0.5938887988473561,Low,0.0
OTU_39,0.0007092833349611387,-0.5031948958516513,0.5937560388958399,Low,0.0
OTU_202,0.0064740540115654655,-0.4865794012482096,0.5879069079942405,Low,0.0
OTU_92,0.0021467705698254764,-0.36839734970027777,0.5835253754704468,Low,0.02
OTU_25,0.004219934728989638,-0.3875631882592946,0.5825263711879699,Low,0.0
OTU_64,0.008062664863855012,0.37280612186732426,0.5788564399990358,High,0.0
OTU_2367,0.0020726967092736556,-0.5064115610920282,0.5758299103640143,Low,0.0
OTU_95,0.006264754299202075,-0.6458866054231563,0.5701442186463213,Low,0.0
OTU_133,0.0008590915527406197,-0.6188909208391556,0.5698728732954593,Low,0.0
OTU_1918,0.001724226336916878,0.40248595421980526,0.5697059054497707,High,0.0
OTU_267,0.003287690502626764,0.5427776544888296,0.5679881823597751,High,0.0
OTU_100,0.0076882297233857,-0.28800268818246616,0.5653955091148729,Low,0.02
OTU_224,0.001981899100916236,-0.5781756411421953,0.5640696002268233,Low,0.0
OTU_2395,0.0031805502193787086,-0.4430531537058473,0.5592681963043672,Low,0.0
OTU_198,0.000904426782384778,-0.47778458169707716,0.5582342139838496,Low,0.0
OTU_120,0.01892488537845317,-0.3923097836520793,0.5574591176970066,Low,0.0
OTU_188,0.004026861836445169,-0.6789289529765633,0.5540257485694073,Low,0.0
OTU_10,0.010272435644110758,0.45482246434399975,0.5536766685978246,High,0.04
OTU_72,0.0011795200821158012,-0.34386516040185844,0.5531884985997771,Low,0.0
OTU_164,0.0024616663293830655,0.5529207476645496,0.5476715120292823,High,0.0
OTU_574,0.0020864448731461142,-0.4233368092199362,0.5436782227308026,Low,0.0
OTU_117,0.001835120097824016,-0.4981859377906058,0.5405900427811403,Low,0.0
OTU_85,0.0018026513998527609,-0.38021226231269867,0.5347149597506365,Low,0.0
OTU_101,0.001210786161900063,-0.28479964080672643,0.5276084030041103,Low,0.015
OTU_68,0.0035820286433600247,0.4044614666225776,0.5253961280319197,High,0.0
OTU_57,0.0026662270627456452,-0.365008500550201,0.5209259685356588,Low,0.0
OTU_309,0.003998554936519617,0.4189714152902514,0.5088770219600067,High,0.0
OTU_4022,0.002016238879327708,-0.35294795945766405,0.508344457760435,Low,0.0
OTU_80,0.0034534827696813533,0.28034587968704383,0.5068628283626521,High,0.04
OTU_3052,0.000709427836890309,-0.4071205707480078,0.5067038651123473,Low,0.0
OTU_1526,0.0015263993731158127,0.3293026144789775,0.5004345608206489,High,0.0
OTU_138,0.00891747151179966,0.4658163474016396,0.4968017515458396,High,0.04
OTU_201,0.0008442035408070877,-0.40590553643199684,0.49249588149659645,Low,0.0
OTU_167,0.009754894944137485,0.3607340025530562,0.48424680584636615,High,0.0
OTU_98,0.018577965966635513,0.4674293190552882,0.4754408319632093,High,0.0
OTU_249,0.0006142420925736361,-0.5037711899750037,0.4745314625437881,Low,0.0
OTU_314,0.0008396403533513721,-0.3415283576619035,0.4727494722282231,Low,0.0
OTU_3824,0.000998258487971207,-0.4199983128073294,0.47254435699106534,Low,0.0
OTU_237,0.00624799647570385,0.5952512429529038,0.471429973911689,High,0.0
OTU_166,0.0006422599924964602,-0.36061262852205433,0.4601986813736893,Low,0.0
OTU_676,0.0013615529580840624,-0.2827033255659205,0.45505663527559653,Low,0.0
OTU_397,0.0007071549142493716,-0.4781517786953324,0.4532949017537364,Low,0.0
OTU_67,0.002585997204775748,0.39484532476687345,0.4511302991326484,High,0.02
OTU_143,0.0006430879911710737,-0.4382676142282639,0.45030413752316484,Low,0.0
OTU_221,0.001653874127146465,-0.3979468740651119,0.4474763955541153,Low,0.02
OTU_1019,0.0012155383217008562,0.33732049892940896,0.4324282460237837,High,0.02
OTU_1481,0.003861021467793302,0.2977482263079139,0.4273930280950717,High,0.005
OTU_82,0.013247173391587493,0.359057198492746,0.4204887205587158,High,0.0
OTU_273,0.003856891396825187,-0.480924712048086,0.4194141640046517,Low,0.0
OTU_70,0.0017149491894791191,0.30090749815127976,0.41308688800272186,High,0.0
OTU_148,0.0022868184733224987,-0.3158072684284866,0.4045197401231646,Low,0.0
OTU_210,0.0006423171738621577,-0.36911314282192814,0.38944211792776623,Low,0.0
OTU_474,0.0038343285491449436,0.41296667805534665,0.3861246708016338,High,0.0
OTU_157,0.0007141250494755674,-0.29052884877227764,0.38146402250530903,Low,0.0
OTU_168,0.0018439056224538227,-0.314162761650587,0.3737985939002075,Low,0.0
OTU_129,0.0038058594348950327,0.30555290376085475,0.3708680417547473,High,0.0
OTU_313,0.000837986403224753,0.32981322131071067,0.36848020308767776,High,0.0
OTU_1914,0.002907648894309923,0.3230173363336309,0.3668355766792766,High,0.0
OTU_220,0.023289567994875766,0.373107863738267,0.34561930013411024,High,0.0
OTU_274,0.0008605999297615247,0.32524223579753764,0.3452773299805927,High,0.02
OTU_1017,0.001828145246996586,0.36625726442992795,0.3340629972391464,High,0.02
OTU_5988,0.01647237765955095,0.5694646068872126,0.2908263691363634,High,0.0
OTU_1041,0.002237704423445941,0.3896042499719734,0.2753980203952651,High,0.02
OTU_1292,0.0008544639645822459,0.28266256101177906,0.24751960462900063,High,0.02
OTU_5531,0.006063990147963775,0.3129873735179978,0.24751960462900063,High,0.04
